Fila,country,designation,points,price,province,region_1,variety,winery
1267,US,Estate St. Helena Vineyard,85,32,California,St. Helena,Sangiovese,Benessere
1268,France,,85,,Burgundy,Mâcon-Villages,Chardonnay,Blason de Bourgogne
1269,US,Estate,85,18,California,Alexander Valley,Chardonnay,Alexander Valley Vineyards
1270,France,Gouleyant,85,11,Southwest France,Côtes de Gascogne,Colombard-Sauvignon Blanc,Georges Vigouroux
1271,France,Le Temps des Vendanges,85,9,Southwest France,,Malbec-Merlot,Georges Vigouroux
1272,France,Les Comtes de Cahors,85,12,Southwest France,Cahors,Malbec,Georges Vigouroux
1273,US,Tudor Hills Vineyard,85,18,Washington,Yakima Valley,Sauvignon Blanc,Martinez & Martinez
1274,US,Sullivan Reserve,85,52,California,Dry Creek Valley,Zinfandel,Mazzocco
1275,Portugal,Tinto,85,15,Tejo,,Portuguese Red,Quinta do Casal Branco
1276,Portugal,Arinto-Fernão Pires,85,15,Tejo,,Portuguese White,Quinta do Casal Monteiro
1277,US,Weldon's Wine,85,27,Washington,Red Mountain,Cabernet Sauvignon,Schooler Nolan
1278,Spain,Vendimia Tardia Single Vineyard,85,30,Northern Spain,Navarra,Moscatel,Ochoa
1279,US,Tracie's Barrel Fermented,85,15,New York,Cayuga Lake,Chardonnay,Treleaven
1280,Argentina,,85,13,Mendoza Province,Mendoza,Malbec,Laberinto
1281,France,Nobles Rives,85,13,Rhône Valley,Collines Rhôdaniennes,Marsanne,Cave de Tain
1282,US,River's Edge Casscles Vineyards,85,25,New York,New York,Red Blend,Hudson-Chatham
1283,France,Diamant Rouge,85,17,Southwest France,Cahors,Malbec,Château Armandière
1284,Portugal,Versátil Tinto,85,10,Alentejano,,Portuguese Red,Casa Santa Vitória
1285,Portugal,Convento da Vila Branco,85,7,Alentejano,,Portuguese White,Adega Cooperativa de Borba
1286,Portugal,Caldas,85,14,Douro,,Portuguese Red,Alves de Sousa
1287,Italy,Bianco,85,10,Veneto,Veronese,White Blend,Amatore
1288,France,Le Temps des Vendanges Sauvignon Blanc-Loin de l'Oeil,85,9,Southwest France,,White Blend,Georges Vigouroux
1289,Portugal,Barão de Figueira Branco,85,10,Beira Interior,,Siria,Companhia das Quintas
1290,US,,85,20,California,Sonoma County,Chardonnay,Decoy
1291,US,,87,25,New York,Finger Lakes,Cabernet Sauvignon,Chateau Lafayette Reneau
1292,France,,87,35,Bordeaux,Moulis-en-Médoc,Bordeaux-style Red Blend,Château Lalaudey
1293,France,,87,,Bordeaux,Pessac-Léognan,Bordeaux-style Red Blend,Château Mancèdre
1294,France,,87,20,Bordeaux,Bordeaux Supérieur,Bordeaux-style Red Blend,Château Peyfaures
1295,US,Single Vineyard,87,23,Idaho,,Syrah,3 Horse Ranch Vineyards
1296,US,,87,24,California,Anderson Valley,Riesling,Balo
1297,US,,87,16,California,Santa Barbara County,Chardonnay,Byron
1298,US,Les Collines Vineyard,87,32,Washington,Walla Walla Valley (WA),Merlot,Burnt Bridge
1299,Italy,Gualto Riserva,87,55,Tuscany,Brunello di Montalcino,Sangiovese,Camigliano
1300,US,Blue Franc,87,13,Washington,Washington,Blaufränkisch,Shooting Star
1301,Italy,Noi 4,87,42,Tuscany,Bolgheri,Red Blend,Tenuta Sette Cieli
1302,US,Brothers Reserve Cabernet Sauvignon Copeland Vineyard,87,74,Washington,Yakima Valley,Cabernet Sauvignon,Two Mountain
1303,Spain,Cuvée,87,15,Levante,Jumilla,Monastrell,Finca Hispana
1304,US,Lawrence Vineyards,87,35,Washington,Columbia Valley (WA),Cabernet Sauvignon,Gård
1305,US,,87,20,New York,New York,Cabernet Franc,Millbrook
1306,Argentina,Trumpeter,87,11,Mendoza Province,Mendoza,Malbec,Rutini
1307,Argentina,Premium,87,38,Mendoza Province,Mendoza,Malbec,Sur de los Andes
1308,Argentina,Broquel,87,18,Mendoza Province,Mendoza,Pinot Noir,Trapiche
1309,Italy,,87,75,Tuscany,Bolgheri Superiore,Red Blend,Donne Fittipaldi
1310,Spain,Joven,87,10,Catalonia,Terra Alta,Garnacha Blanca,Finca Hispana
1311,US,,87,18,Idaho,,Riesling,Hat Ranch
1312,Italy,Sorugo,87,40,Tuscany,Bolgheri Superiore,Red Blend,Aia Vecchia
1313,France,,87,30,Bordeaux,Haut-Médoc,Bordeaux-style Red Blend,Château du Cartillon
1314,France,,87,,Bordeaux,Bordeaux,Bordeaux-style Red Blend,Château Grand Billard
1315,France,,87,40,Bordeaux,Saint-Estèphe,Bordeaux-style Red Blend,Château Laffitte Carcasset
1316,France,,87,13,Bordeaux,Côtes de Bourg,Bordeaux-style Red Blend,Château Maine d'Arman
1317,France,,87,19,Bordeaux,Médoc,Bordeaux-style Red Blend,Château Noaillac
1318,France,,87,25,Bordeaux,Listrac-Médoc,Bordeaux-style Red Blend,Château Saransot-Dupré
1319,US,Organically Grown Grapes,87,21,California,Sierra Foothills,Zinfandel,Chacewater
1320,US,Sawmill Creek Vineyards,87,18,New York,Finger Lakes,Sauvignon Blanc,Billsboro
1321,Spain,Veraton,89,34,Northern Spain,Campo de Borja,Garnacha,Alto Moncayo
1322,Italy,Goghi,89,32,Tuscany,Toscana,Red Blend,Amantis
1323,US,Nicholas Estate Reserve,89,33,Oregon,Chehalem Mountains,Chardonnay,Anam Cara
1324,France,Confidential,89,22,Southwest France,Côtes du Marmandais,Red Blend,Cave du Marmandais
1325,Portugal,Casaleiro Reserva,89,12,Tejo,,Portuguese Red,Caves Velhas
1326,France,Cuvée Prestige,89,26,Southwest France,Cahors,Malbec,Château de Cénac
1327,US,25th Anniversary,89,22,Oregon,Rogue Valley,Pinot Noir,Deer Creek
1328,France,O Grand R,89,13,Southwest France,Fronton,Red Blend,Domaine Roumagnac
1329,Germany,Alte Reben Trarbacher Burgberg,89,45,Mosel,,Riesling,Richard Böcking
1330,Spain,Barranc dels Closos,88,25,Catalonia,Priorat,Red Blend,Mas Igneus
1331,Spain,,88,22,Catalonia,Priorat,Red Blend,Clos de Tafall
1332,Greece,Anemos,88,19,Peloponnese,,Agiorgitiko,Palivou
1333,US,Charles Vineyard,88,20,California,Anderson Valley,Sauvignon Blanc,Foursight
1334,US,Mernet Reserve 35th Anniversary,88,96,California,Spring Mountain District,Merlot-Cabernet Sauvignon,Keenan
1335,France,Pas de Deux,88,,Southwest France,Jurançon,Gros and Petit Manseng,Domaine Nigri
1336,US,,88,28,California,Lodi,Red Blend,Coup de Grace
1337,US,,88,19,California,Mendocino County,Pinot Noir,Saint Gregory
1338,US,,88,26,California,Livermore Valley,Mourvèdre,Longevity
1339,Italy,Terre More dell'Ammiraglia,88,17,Tuscany,Toscana,Red Blend,Marchesi de' Frescobaldi
1340,Italy,Sorel,88,35,Lombardy,Terrazze Retiche di Sondrio,Red Blend,Nera
1341,Portugal,Late Bottled Vintage,88,20,Port,,Port,Delaforce
1342,France,K-Pot,88,18,Southwest France,Cahors,Malbec,Clos Troteligotte
1343,US,Heredity,88,34,Oregon,Willamette Valley,Pinot Noir,Et Fille
1344,US,,88,14,California,Temecula Valley,Meritage,Falkner
1345,US,,88,28,California,Paso Robles,Rosé,HammerSky
1346,US,Hyde Vineyard Belle Cousine,88,66,California,Napa Valley,Bordeaux-style Red Blend,HdV
1347,US,,88,25,California,Paicines,Grenache,Donati
1348,US,,88,28,California,Paso Robles,Zinfandel,Eberle
1349,US,,88,28,Oregon,McMinnville,Riesling,Hyland
1350,Chile,Gran Reserva,88,13,Casablanca Valley,,Sauvignon Blanc,Indomita
1351,France,Heart of Darkness,91,,Southwest France,Madiran,Tannat,Lionel Osmin & Cie
1352,US,Devious,91,24,California,Lodi,Primitivo,Macchia
1353,Italy,Mandolara,91,25,Lombardy,Lugana,Turbiana,Le Morette
1354,US,Purisima Mountain Vineyard,91,36,California,Santa Ynez Valley,Syrah,Margerum
1355,Germany,Bernkasteler Badstube Kabinett,91,18,Mosel,,Riesling,Dr. Heidemanns-Bergweiler
1356,Chile,,91,23,Marchigue,,Syrah,Polkura
1357,US,Spiral 36 White Table Wine,91,28,Oregon,Applegate Valley,Rhône-style White Blend,Cowhorn
1358,Portugal,Quinta do Encontro Encontro I Branco,91,40,Bairrada,,Arinto,Dão Sul
1359,France,Les Chaumées Premier Cru,91,78,Burgundy,Chassagne-Montrachet,Chardonnay,Domaine Vincent Girardin
1360,US,Bernier-Sibary Vineyard,91,43,California,Dry Creek Valley,Zinfandel,Dutcher Crossing
1361,France,Château de Bligny Premier Cru,91,65,Burgundy,Gevrey-Chambertin,Pinot Noir,Evening Land
1362,US,Estate Vineyard,91,44,California,Fort Ross-Seaview,Chardonnay,Failla
1363,US,,91,50,California,Sonoma Coast,Pinot Noir,Flowers
1364,US,Bella Una,91,56,California,Russian River Valley,Pinot Noir,Benovia
1365,France,Le Petit Cheval,91,,Bordeaux,Saint-Émilion,Bordeaux-style Red Blend,Château Cheval Blanc
1366,France,Mas des Merveilles,91,30,Southwest France,Côtes du Lot,Viognier,Château Lagrézette
1367,France,,91,,Bordeaux,Médoc,Bordeaux-style Red Blend,Château Les Trois Manoirs
1368,France,,91,22,Bordeaux,Moulis-en-Médoc,Bordeaux-style Red Blend,Château Mauvesin Barton
1369,US,Cuvée Alis,91,48,California,Sonoma Valley,Rhône-style Red Blend,Amapola Creek
1370,Portugal,Casa de Santar Reserva,91,22,Dão,,Portuguese Red,Dão Sul
1371,France,,91,60,Burgundy,Savigny-lès-Beaune,Chardonnay,Domaine de Bellene
1372,France,Grande Réserve,91,40,Southwest France,Côtes du Tarn,Bordeaux-style Red Blend,Domaine D'en Ségur
1373,France,Toute une Histoire,91,,Southwest France,Jurançon,Petit Manseng,Domaine Nigri
1374,US,Estate,91,19,Oregon,Willamette Valley,Riesling,Elk Cove
1375,Portugal,Mariana,91,,Alentejano,,Portuguese Red,Herdade do Rocim
1376,US,Estate Grown Cave Fermented,91,64,California,Napa Valley,Chardonnay,Jarvis
1377,France,Pitures Premier Cru,91,74,Burgundy,Volnay,Pinot Noir,Roche de Bellene
1378,Italy,Del Lupo,91,24,Lombardy,Lugana,Turbiana,Ca' Lojera
1379,Portugal,Daphne,91,,Vinho Verde,,Loureiro,Casal Paço Padreiro
1380,Portugal,Cabeça de Toiro Reserva,91,,Tejo,,Portuguese Red,Caves Velhas
1381,US,Doctors Vineyard,88,63,California,Santa Lucia Highlands,Pinot Noir,Testarossa
1382,Spain,Reserva,88,14,Central Spain,Valdepeñas,Tempranillo,Viña Albali
1383,US,,88,16,Oregon,Willamette Valley,Pinot Gris,Willamette Valley Vineyards
1384,Argentina,Reserve,88,21,Mendoza Province,Mendoza,Cabernet Sauvignon,Pascual Toso
1385,France,,88,15,Bordeaux,Bordeaux Blanc,Sauvignon Blanc,Prince de Tabourg
1386,US,,88,18,California,Paso Robles,Cabernet Sauvignon,Pull
1387,Italy,Trentaquattro34,88,50,Piedmont,Barolo,Nebbiolo,Rattalino
1388,US,,88,18,California,Santa Barbara County,Pinot Noir,Red Pony Ranch
1389,Italy,Rocche dell'Annunziata,88,80,Piedmont,Barolo,Nebbiolo,Andrea Oberto
1390,US,Mulberry Street Vitae Springs Vineyard,88,48,Oregon,Willamette Valley,Pinot Noir,Dominio IV
1391,France,Cuvée Plaisir,88,22,Loire Valley,Pouilly-Fumé,Sauvignon Blanc,Dominique Pabiot
1392,US,Rosé,88,16,Oregon,Willamette Valley,Pinot Noir,Elk Cove
1393,Argentina,Callejon del Crimen Gran Reserva,88,28,Mendoza Province,Uco Valley,Malbec,Finca La Luz
1394,US,Estate Bottled,88,35,California,Russian River Valley,Pinot Noir,Foppiano
1395,US,Heritage,88,40,Oregon,Willamette Valley,Pinot Noir,Kramer
1396,US,Rocheux,88,48,Oregon,Oregon,Pinot Noir,Le Cadeau
1397,France,Domaine de Bégrolles Sur Lie,88,12,Loire Valley,Muscadet Sèvre et Maine,Melon,Les Vignerons des Terroirs de la Noëlle
1398,US,,88,20,California,Russian River Valley,Pinot Gris,MacMurray Estate Vineyards
1399,US,,88,26,California,Dry Creek Valley,Petite Sirah,Miro
1400,Italy,Asili,88,55,Piedmont,Barbaresco,Nebbiolo,Ca' del Baio
1401,Spain,,88,8,Northern Spain,Campo de Borja,Grenache-Syrah,Los Dos
1402,Spain,,88,16,Northern Spain,Bierzo,Mencía,Luna Beberide
1403,US,Estate Grown,88,30,California,Oak Knoll District,Viognier,Materra Cunat Family Vineyards
1404,US,Momtazi Vineyard,88,23,Oregon,McMinnville,Pinot Gris,Maysara
1405,US,,88,21,California,Paso Robles,Red Blend,MCV
1406,US,,88,30,California,Anderson Valley,Pinot Noir,Navarro
1407,Spain,Vendimia Tardia Single Vineyard Finca El Bosque,88,30,Northern Spain,Navarra,Moscatel,Ochoa
1408,Italy,Castagni,88,35,Piedmont,Barolo,Nebbiolo,Reverdito
1409,US,,88,17,Oregon,Willamette Valley,Pinot Gris,Silvan Ridge
1410,US,,88,25,California,Carneros,Pinot Noir,Stemmler
1411,Italy,Bianco,90,24,Sicily & Sardinia,Etna,Carricante,Cottanera
1412,US,Estate,90,40,Oregon,Chehalem Mountains,Pinot Noir,Carabella
1413,Hungary,Dry,90,16,Tokaji,,White Blend,Chateau Dereszla
1414,US,Estate Bottled,90,40,California,Shenandoah Valley (CA),Cabernet Sauvignon,Easton
1415,US,,90,28,California,Santa Barbara County,Syrah,Fess Parker
1416,Italy,,90,21,Southern Italy,Fiano di Avellino,Fiano,Feudi di San Gregorio
1417,US,Esperance Curtis Vineyard,90,36,California,Santa Ynez Valley,Rhône-style Red Blend,Andrew Murray
1418,Greece,,90,28,Santorini,,Assyrtiko,Argyros
1419,US,Old Vine Lopez Ranch,90,65,California,Temecula Valley,Zinfandel,Lorenzi Estate
1420,US,Pratt Vineyard,90,49,California,Sonoma Coast,Pinot Noir,MacPhail
1421,US,Special Reserve,90,44,California,Napa Valley,Cabernet Sauvignon,Herzog
1422,US,,90,48,California,Napa Valley,Zinfandel,Hunnicutt
1423,US,,90,28,California,Russian River Valley,Chardonnay,J Vineyards & Winery
1424,US,,90,30,California,Sonoma County,Rosé,Kale
1425,France,,90,17,Alsace,Alsace,Sylvaner,Leon Beyer
1426,Italy,Trimarchisa,90,39,Sicily & Sardinia,Etna,Red Blend,Tornatore
1427,US,Rosé of,90,16,Oregon,Rogue Valley,Grenache,Upper Five
1428,Germany,Gutswein Trocken,90,22,Franken,,Silvaner,Rainer Sauer
1429,US,Olenik Vineyard,90,45,Oregon,Chehalem Mountains,Pinot Noir,Raptor Ridge
1430,France,Signature,90,15,Alsace,Alsace,Sylvaner,René Muré
1431,US,Zena Crown Vineyard,90,48,Oregon,Eola-Amity Hills,Pinot Noir,Soléna
1432,US,,90,35,Oregon,Southern Oregon,Petite Sirah,Spangler
1433,US,Classic Collection,90,24,California,Napa Valley,Zinfandel,Napa Cellars
1434,US,X2 Estate,90,95,California,Napa Valley,Red Blend,Paraduxx
1435,US,,90,32,California,Napa Valley,Zinfandel,Peter Franus
1436,Spain,Reserva,90,26,Northern Spain,Rioja,Tempranillo Blend,Marqués de Vargas
1437,Spain,Lindes de San Vincente,90,32,Northern Spain,Rioja,Tempranillo Blend,Remelluri
1438,US,DuPratt Vineyard Old Vine,90,24,California,Mendocino Ridge,Zinfandel,Steele
1439,Germany,Bechtheimer Trocken,90,25,Rheinhessen,,Schwartzriesling,Weinreich
1440,Spain,,90,50,Northern Spain,Rioja,Garnacha,Contino
1441,,Shah,90,30,,,Red Blend,Büyülübağ
1442,Italy,,90,60,Tuscany,Brunello di Montalcino,Sangiovese,Carpineto
1443,US,Velvet Devil,90,12,Washington,Columbia Valley (WA),Merlot,Charles Smith
1444,France,Clos de la Chaise Dieu,90,50,Burgundy,Bourgogne Hautes Côtes de Beaune,Chardonnay,Château de Santenay
1445,Italy,,90,85,Tuscany,Brunello di Montalcino,Sangiovese,Cordella
1446,US,Throne,90,42,California,Russian River Valley,Rhône-style Red Blend,Davis Family
1447,France,,90,20,Loire Valley,Menetou-Salon,Sauvignon Blanc,Domaine Chavet
1448,US,Brut Séduction,90,72,New York,North Fork of Long Island,Champagne Blend,Sparkling Pointe
1449,US,La Croce,90,66,California,Ballard Canyon,Sangiovese-Syrah,Stolpman
1450,US,,90,18,California,California,Vermentino,Bailiwick
1451,France,Le Petit Paon,90,32,France Other,Vin de France,White Blend,Domaine des Baumard
1452,France,,90,19,Rhône Valley,Côtes du Rhône,Rosé,E. Guigal
1453,US,,90,44,California,Russian River Valley,Pinot Noir,Freeman
1454,Spain,Taberner No1,90,90,Andalucia,Vino de la Tierra de Cádiz,Red Blend,Huerta de Albalá
1455,Spain,Taberner,90,33,Andalucia,Vino de la Tierra de Cádiz,Red Blend,Huerta de Albalá
1456,US,Reserve,90,45,California,Sonoma Valley,Chardonnay,Kunde
1457,US,She's Crafty Rosé of,90,30,California,Sta. Rita Hills,Pinot Noir,La Voix
1458,US,,90,65,California,Atlas Peak,Cabernet Sauvignon,Martin Ray
1459,US,Simpson Ridge,90,65,California,Dry Creek Valley,Cabernet Sauvignon,Martin Ray
1460,US,Franc 'n Stern,90,125,California,Oakville,Cabernet Franc,Oakville East
1461,US,Montepulciano-Sangiovese,90,38,California,Dry Creek Valley,Red Blend,Quivira
1462,Italy,Riserva,90,28,Tuscany,Chianti Classico,Red Blend,Castello della Paneretta
1463,Spain,Selecció,90,32,Catalonia,Terra Alta,Red Blend,Edetària
1464,US,Estate Grown,90,55,California,Rutherford,Cabernet Sauvignon,Frog's Leap
1465,US,Estate Reserve,90,85,California,Sonoma Coast,Pinot Noir,Hirsch
1466,US,,90,35,California,Spring Mountain District,Chardonnay,Keenan
1467,France,,90,17,Rhône Valley,Tavel,Rosé,Lavau
1468,US,Cielo Rubio,90,48,California,Santa Barbara County,Red Blend,Marianello
1469,US,6th Sense,90,16,California,Lodi,Syrah,Michael David
1470,Hungary,Late Harvest,90,26,Tokaji,,Furmint,Oremus
1471,US,Vintage Brut,90,28,Oregon,Willamette Valley,Sparkling Blend,Argyle
1472,US,Nuthouse Lone Star Vineyard,90,50,Oregon,Eola-Amity Hills,Pinot Noir,Argyle
1473,US,Wirtz Vineyard,90,32,Oregon,Willamette Valley,Pinot Gris,Big Table Farm
1474,Germany,Piesporter Goldtröpfchen Kabinett,90,23,Mosel,,Riesling,Bischöfliche Weingüter Trier
1475,Italy,del Comune di Serralunga d'Alba,90,,Piedmont,Barolo,Nebbiolo,Cantina del Nebbiolo
1476,Italy,,90,44,Piedmont,Barbaresco,Nebbiolo,Cantina del Pino
1477,Israel,Kayoumi Single Vineyard,90,40,Galilee,,Cabernet Sauvignon,Carmel
1478,Argentina,Altísimo,90,30,Mendoza Province,Uco Valley,Malbec,Ricominciare
1479,US,Aurosa,90,28,Oregon,Willamette Valley,Pinot Gris,Antiquum Farm
1480,Italy,,90,46,Piedmont,Barolo,Nebbiolo,Beni di Batasiolo
1481,Argentina,Catena,90,24,Mendoza Province,Mendoza,Malbec,Bodega Catena Zapata
1482,Italy,Brandini,90,,Piedmont,Barolo,Nebbiolo,Brandini
1483,US,Bastoni Vineyard Karma,90,33,California,Sonoma County,Zinfandel,Carol Shelton
1484,Italy,,90,25,Piedmont,Barbera d'Alba,Barbera,Cascina delle Rose
1485,France,Blanche de Bosredon,90,13,Southwest France,Monbazillac,Bordeaux-style White Blend,Château Bélingard
1486,France,Cuvée Amélie Sur Lie,90,16,Loire Valley,Muscadet Sèvre et Maine,Melon,Château de la Ragotiere
1487,France,Cuvée Tsar Pierre le Grand,90,50,Southwest France,Cahors,Malbec-Merlot,Château Eugénie
1488,France,Comtesse de Ségur,90,19,Southwest France,Montravel,Bordeaux-style Red Blend,Château Laulerie
1489,France,,90,13,Southwest France,Madiran,Tannat-Cabernet Franc,Château Peyros
1490,US,Lila's Cuvee,90,50,California,Central Coast,Rhône-style Red Blend,Clos La Chance
1491,US,Winemakers Cuvée,90,50,Oregon,Willamette Valley,Pinot Noir,David Hill
1492,Italy,Braja Riserva,90,35,Piedmont,Roero,Nebbiolo,Deltetto
1493,US,DCV Estate Block 10,90,30,California,Russian River Valley,Chardonnay,Dry Creek Vineyard
1494,Germany,Schwarzer Adler,90,25,Baden,,Pinot Blanc,Franz Keller
1495,Italy,Pichemej,90,,Piedmont,Barolo,Nebbiolo,Gianpiero Marrone
1496,US,Counterpoint,90,40,California,Sonoma Mountain,Cabernet Sauvignon,Laurel Glen
1497,Spain,Art,90,55,Northern Spain,Bierzo,Mencía,Luna Beberide
1498,Portugal,Maria Mora Enamorada,90,100,Alentejano,,Portuguese Red,Magnum Vinhos
1499,US,,90,100,California,Napa Valley,Cabernet Sauvignon,Mathew Bruno
1500,US,,90,28,California,Napa Valley,Sauvignon Blanc,Merryvale
1501,US,au Naturel,93,32,California,Central Coast,Sauvignon Blanc,Brander
1502,US,,93,40,California,Santa Barbara County,Grenache,Margerum
1503,US,Reserve,93,40,Oregon,Willamette Valley,Chardonnay,Ponzi
1504,New Zealand,The Great Ted,92,63,Martinborough,,Pinot Noir,Palliser Estate
1505,France,Gouttes de Soleil,92,26,Southwest France,Pacherenc du Vic Bilh,Gros Manseng,Château de Gayon
1506,France,L'Excellence,92,45,Provence,Côtes de Provence,Rosé,Château Saint-Maur
1507,France,La Patience de Vannières,92,,Provence,Bandol,Rosé,Château Vannières
1508,France,Cuvée du Couvent,92,25,Southwest France,Madiran,Tannat,Domaine Capmartin
1509,US,Côte Sud Vineyard,92,75,Oregon,Dundee Hills,Pinot Noir,Domaine Serene
1510,US,Coeur Blanc (White Heart),92,95,Oregon,Willamette Valley,Pinot Noir,Domaine Serene
1511,US,Lock Vineyard,92,42,California,Paso Robles,Cabernet Sauvignon,Écluse
1512,Austria,Ried Spiegel,92,17,Wagram,,Grüner Veltliner,Josef Bauer
1513,US,Ventana Vineyard,92,35,California,Arroyo Seco,Grenache,Joyce
1514,Austria,Stein,92,18,Kamptal,,Grüner Veltliner,Jurtschitsch
1515,US,Backbone,92,28,Oregon,Willamette Valley,Pinot Gris,King Estate
1516,US,Westlands,92,54,California,Sonoma Coast,Pinot Noir,Anaba
1517,US,,92,35,California,Sta. Rita Hills,Pinot Noir,Babcock
1518,US,E Street,92,40,California,Paso Robles Willow Creek District,Tempranillo,Barton
1519,US,Le Pré du Col Vineyard,92,68,Oregon,Ribbon Ridge,Pinot Noir,Bergström
1520,France,Excellence des Muraires,92,59,Provence,Côtes de Provence,Rosé,Bernard Magrez
1521,France,Optimum,92,28,Southwest France,Fronton,Red Blend,Château Bellevue la Forêt
1522,US,,92,40,California,Napa Valley,White Blend,Matthiasson
1523,US,DVX Sparkling Rosé,92,80,California,Napa Valley,Sparkling Blend,Mumm Napa
1524,US,,92,38,California,Santa Barbara County,Barbera,Pianetta
1525,US,,92,38,California,Paso Robles,Petite Sirah,Pianetta
1526,US,Avellana Vineyard,92,63,Oregon,Willamette Valley,Chardonnay,Ponzi
1527,US,Arsenal,92,40,Oregon,Applegate Valley,Cabernet Franc-Merlot,Quady North
1528,US,Sawyer-Lindquist Vineyard,92,,California,Edna Valley,Syrah,Qupé
1529,US,Jack Rabbit Flat Vineyard,92,50,California,Amador County,Zinfandel,Renwood
1530,US,Gino's,92,34,California,Dry Creek Valley,Zinfandel,Sbragia
1531,Portugal,Versátil Tinto,85,10,Alentejano,,Portuguese Red,Casa Santa Vitória
1532,Portugal,Convento da Vila Branco,85,7,Alentejano,,Portuguese White,Adega Cooperativa de Borba
1533,Portugal,Caldas,85,14,Douro,,Portuguese Red,Alves de Sousa
1534,Italy,Bianco,85,10,Veneto,Veronese,White Blend,Amatore
1535,Italy,Flauto Magico Riserva,85,149,Tuscany,Brunello di Montalcino,Sangiovese,Paradiso di Frassina
1536,US,Cesar,85,26,Washington,Horse Heaven Hills,Bordeaux-style Red Blend,Martinez & Martinez
1537,Argentina,Premium Series,85,16,Other,La Rioja,Torrontés,Solo Contigo
1538,France,Réserve,85,9,Southwest France,,Malbec,Vino San Esteban
1539,Argentina,Clásico,84,12,Mendoza Province,Mendoza,Malbec,Altos Las Hormigas
1540,Portugal,,84,18,Alentejano,,Rosé,Dona Maria-Júlio Bastos
1541,Portugal,,84,,Tejo,,Sauvignon Blanc,Quinta da Alorna
1542,US,Bianca's White,84,15,California,Napa Valley,Sauvignon Blanc-Semillon,Napa by N.A.P.A.
1543,Portugal,Senses,84,13,Alentejano,,Alvarinho,Adega Cooperativa de Borba
1544,Portugal,Azul Portugal,84,12,Palmela,,Portuguese White,Wines & Winemakers
1545,France,Château Noël Saint Laurent,84,14,Rhône Valley,Côtes du Rhône,Rhône-style White Blend,Louis Bernard
1546,Argentina,505 Esencia,84,12,Mendoza Province,Mendoza,Bordeaux-style Red Blend,Casarena
1547,Spain,Don Ramón,84,9,Northern Spain,Campo de Borja,Red Blend,Bodegas Aragonesas
1548,US,,84,29,California,Los Carneros,Pinot Noir,Acacia
1549,Portugal,Plexus Branco,84,10,Tejo,,Portuguese Sparkling,Adega Cooperativa do Cartaxo
1550,US,Verdigris,84,35,California,Livermore Valley,White Blend,Las Positas
1551,France,La Fleur Lily Semi-Sweet,84,12,Southwest France,Côtes de Bergerac,Bordeaux-style White Blend,Domaine de Grange Neuve
1552,US,,84,14,California,Santa Ynez Valley,Sauvignon Blanc,EOS
1553,Argentina,Ji Ji Ji Finca Villa Seca Gen Fuerza Tranquila,84,17,Mendoza Province,Tupungato,Chenin Blanc,Gen Del Alma
1554,US,,84,12,California,California,Pinot Noir,Sand Point
1555,South Africa,Seriously Cool,84,20,Stellenbosch,,Chenin Blanc,Waterkloof
1556,Argentina,,84,17,Mendoza Province,Vista Flores,Malbec,Antucura
1557,South Africa,Bob's,84,9,South Africa,,Chenin Blanc,Fat Barrel
1558,Spain,Dulce Blanco,84,14,Levante,Jumilla,Macabeo,Casa de la Ermita
1559,Portugal,Campelo,84,10,Vinho Verde,,Rosé,Caves Campelo
1560,Portugal,Casal da Seara,84,10,Vinho Verde,,Portuguese White,Caves Campelo
1561,US,Gamma: The Complex,92,35,California,Sta. Rita Hills,Syrah,Ampelos
1562,US,Dijon Clone,92,32,Washington,Yakima Valley,Chardonnay,Array
1563,US,Seventeen Forty Reserve,92,56,California,Paso Robles,Bordeaux-style Red Blend,Daou
1564,US,Ciel du Cheval Vineyard,92,39,Washington,Red Mountain,Merlot,Côtes de Ciel
1565,Portugal,,92,23,Alentejano,,Portuguese Red,Herdade do Rocim
1566,US,Upland Vineyards,92,40,Washington,Snipes Mountain,Syrah,Kerloo
1567,US,Zabala Vineyard,92,20,California,Arroyo Seco,Sauvignon Blanc,Mercy
1568,Portugal,,92,32,Dão,,Alfrocheiro,Quinta de Lemos
1569,US,,92,35,California,Paso Robles,Zinfandel,Summerwood
1570,US,,92,52,Washington,Columbia Valley (WA),Merlot,Woodward Canyon
1571,US,Mesa Reserve Estate Grown and Bottled,92,48,California,Santa Ynez Valley,Syrah,Zaca Mesa
1572,France,Vieilles Vignes,91,14,Alsace,Alsace,Riesling,Domaine Jean Sipp
1573,France,,91,27,Alsace,Alsace,Pinot Blanc,Domaine Ostertag
1574,France,Kessler Grand Cru,91,38,Alsace,Alsace,Gewürztraminer,Domaines Schlumberger
1575,Chile,Max Reserva,91,20,Aconcagua Valley,,Syrah,Errazuriz
1576,US,Cuvée Sauvage,91,40,California,Carneros,Chardonnay,Franciscan
1577,US,,91,54,California,Napa Valley,Cabernet Sauvignon,Greyscale
1578,US,Rolleri Cuvée,91,26,California,Calaveras County,Tempranillo,Hovey
1579,Chile,Canto de Apalta Cellar Selection,91,22,Rapel Valley,,Red Blend,Lapostolle
1580,US,Estate,91,30,California,Sierra Foothills,Syrah,Martin Lane Winery
1581,Portugal,Vinha da Costa,91,58,Bairrada,,Portuguese Red,Campolargo
1582,US,,91,40,California,Russian River Valley,Chardonnay,Chasseur
